stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
U4392Z2,"Lidice,ObÚ",50.14380,14.19017,"2","https://pid.cz/zastavkova-tabla?stop=Lidice,ObÚ",0,,2,B
U4393Z1,"Makotřasy,Náves",50.14421,14.21515,"2","https://pid.cz/zastavkova-tabla?stop=Makotřasy,Náves",0,,2,A
U4393Z2,"Makotřasy,Náves",50.14445,14.21527,"2","https://pid.cz/zastavkova-tabla?stop=Makotřasy,Náves",0,,2,B
U4394Z1,"Středokluky,Nad Běloky",50.13166,14.22912,"1","https://pid.cz/zastavkova-tabla?stop=Středokluky,Nad Běloky",0,,2,A
U4394Z2,"Středokluky,Nad Běloky",50.13163,14.22817,"1","https://pid.cz/zastavkova-tabla?stop=Středokluky,Nad Běloky",0,,2,B
U4395Z1,"Kněževes,U Školy",50.11953,14.26207,"1","https://pid.cz/zastavkova-tabla?stop=Kněževes,U Školy",0,,2,A
U4396Z1,"Středokluky,U Školy",50.13218,14.23725,"1","https://pid.cz/zastavkova-tabla?stop=Středokluky,U Školy",0,,2,A
U4396Z2,"Středokluky,U Školy",50.13232,14.23698,"1","https://pid.cz/zastavkova-tabla?stop=Středokluky,U Školy",0,,2,B
U4397Z1,"Buštěhrad,Bouchalka",50.16135,14.20823,"2","https://pid.cz/zastavkova-tabla?stop=Buštěhrad,Bouchalka",0,,2,A
U4397Z2,"Buštěhrad,Bouchalka",50.16108,14.20796,"2","https://pid.cz/zastavkova-tabla?stop=Buštěhrad,Bouchalka",0,,2,B
U4398Z1,"Stehelčeves,ObÚ",50.17115,14.19114,"2","https://pid.cz/zastavkova-tabla?stop=Stehelčeves,ObÚ",0,,2,A
U4398Z2,"Stehelčeves,ObÚ",50.17078,14.19107,"2","https://pid.cz/zastavkova-tabla?stop=Stehelčeves,ObÚ",0,,2,B
U4399Z1,"Stehelčeves,U Brůdku",50.17382,14.19102,"2","https://pid.cz/zastavkova-tabla?stop=Stehelčeves,U Brůdku",0,,2,A
U4399Z2,"Stehelčeves,U Brůdku",50.17397,14.19084,"2","https://pid.cz/zastavkova-tabla?stop=Stehelčeves,U Brůdku",0,,2,B
U4400Z1,"Středokluky,Rozcestí Černovičky",50.13789,14.24535,"1","https://pid.cz/zastavkova-tabla?stop=Středokluky,Rozcestí Černovičky",0,,2,A
U4400Z2,"Středokluky,Rozcestí Černovičky",50.13763,14.24548,"1","https://pid.cz/zastavkova-tabla?stop=Středokluky,Rozcestí Černovičky",0,,2,B
U4401Z1,"Číčovice,Velké Číčovice",50.15435,14.24095,"2","https://pid.cz/zastavkova-tabla?stop=Číčovice,Velké Číčovice",0,,2,A
U4401Z2,"Číčovice,Velké Číčovice",50.15437,14.24069,"2","https://pid.cz/zastavkova-tabla?stop=Číčovice,Velké Číčovice",0,,2,B
U4402Z1,"Číčovice,Malé Číčovice",50.15680,14.24932,"2","https://pid.cz/zastavkova-tabla?stop=Číčovice,Malé Číčovice",0,,2,A
U4402Z2,"Číčovice,Malé Číčovice",50.15693,14.24892,"2","https://pid.cz/zastavkova-tabla?stop=Číčovice,Malé Číčovice",0,,2,B
U4403Z1,"Okoř,Křižovatka",50.15979,14.24900,"2","https://pid.cz/zastavkova-tabla?stop=Okoř,Křižovatka",0,,2,A
U4403Z2,"Okoř,Křižovatka",50.16166,14.24834,"2","https://pid.cz/zastavkova-tabla?stop=Okoř,Křižovatka",0,,2,B
U4404Z1,"Libochovičky",50.17279,14.23940,"2","https://pid.cz/zastavkova-tabla?stop=Libochovičky",0,,2,A
U4404Z2,"Libochovičky",50.17266,14.23923,"2","https://pid.cz/zastavkova-tabla?stop=Libochovičky",0,,2,B
U4405Z1,"Zákolany,Kováry",50.18862,14.24842,"3","https://pid.cz/zastavkova-tabla?stop=Zákolany,Kováry",0,,2,A
U4405Z2,"Zákolany,Kováry",50.18888,14.24819,"3","https://pid.cz/zastavkova-tabla?stop=Zákolany,Kováry",0,,2,B
U4406Z1,"Zákolany,U Kovár",50.19342,14.25306,"3","https://pid.cz/zastavkova-tabla?stop=Zákolany,U Kovár",0,,2,A
U4406Z2,"Zákolany,U Kovár",50.19448,14.25337,"3","https://pid.cz/zastavkova-tabla?stop=Zákolany,U Kovár",0,,2,B
U4407Z1,"Zákolany,Rozcestí Blevice",50.19862,14.24095,"3","https://pid.cz/zastavkova-tabla?stop=Zákolany,Rozcestí Blevice",0,,2,A
